tissue,broad_tissue
pituitary,pituitary
testis,testis
colon_transverse,colon
colon_sigmoid,colon
whole_blood,blood
kidney_cortex,kidney
stomach,stomach
small_intestine_terminal_ileum,intestine
esophagus_mucosa,esophagus
ovary,ovary
lung,lung
brain-0,brain
skin,skin
muscle_skeletal,muscle_skeletal
vagina,vagina
artery_aorta,artery
spleen,spleen
adrenal_gland,adrenal_gland
adipose_visceral_(omentum),adipose
heart_left_ventricle,heart
cells_transformed_fibroblasts,cells_transformed_fibroblasts
uterus,uterus
minor_salivary_gland,salivary_gland
breast_mammary_tissue,breast
brain-2,brain
cells_ebv-transformed_lymphocytes,cells_ebv-transformed_lymphocytes
brain-1,brain
esophagus_gastroesophageal_junction,esophagus
artery_coronary,artery
pancreas,pancreas
artery_tibial,artery
liver,liver
nerve_tibial,nerve
prostate,prostate
esophagus_muscularis,esophagus
thyroid,thyroid
adipose_subcutaneous,adipose
heart_atrial_appendage,heart
